index_batch,radar_mask_len,radar_OI,box_present,cls_labels_len
6,9146,9,1,987
17,8821,13,1,1008
22,6845,9,1,1792
24,7057,10,1,1309
26,8159,12,1,1346
32,1319,6,1,1055
43,2020,6,1,1728
47,6842,13,1,1544
58,362,4,1,246
69,247,1,1,33
70,896,1,1,176
71,384,0,1,242
72,1229,0,1,409
73,644,0,1,248
74,1477,0,1,217
75,1896,0,1,467
75,42,1,1,42
85,1256,3,1,197
89,1061,1,1,183
91,3185,3,1,325
93,3768,3,1,155
160,7373,0,2,4
161,7323,0,2,10
162,7274,0,2,19
163,7263,0,2,41
164,7176,0,2,57
165,7380,0,2,83
166,7396,0,2,193
167,7476,0,2,262
168,7663,0,2,553
168,7646,2,2,18
169,7813,1,2,666
169,7912,3,2,58
170,8168,0,2,922
170,7813,2,2,172
171,8109,1,2,837
171,7857,3,2,257
173,3515,2,1,416
174,3685,1,1,427
175,4023,1,1,426
177,2920,3,1,420
178,4508,4,1,437
179,4800,3,1,456
180,4968,3,1,455
181,6061,4,1,465
181,5134,5,1,465
181,4536,9,1,308
182,5564,1,1,472
183,5721,3,1,490
187,5946,4,1,506
188,5837,7,1,482
189,5982,3,1,429
190,5857,2,1,448
192,6229,4,1,502
193,6592,3,1,547
193,6757,9,1,547
194,6406,4,1,579
194,3053,5,1,455
194,6506,11,1,579
195,6574,1,1,544
195,3064,2,1,400
195,6544,8,1,544
196,6594,2,1,560
196,6817,8,1,560
197,6681,4,1,579
198,6875,9,1,603
199,6722,2,1,571
199,6771,8,1,571
201,6966,9,1,583
202,7116,1,1,623
202,6930,7,1,623
203,6852,3,1,574
204,7275,3,1,596
205,6796,4,1,624
207,6764,2,1,642
208,6268,5,1,395
208,7399,6,1,691
209,5988,5,1,301
210,5893,2,1,547
211,6158,6,1,647
213,6057,5,1,614
216,4016,0,1,612
216,9723,6,1,1358
217,4016,0,1,606
217,9723,6,1,1362
218,9749,6,1,1331
219,3991,0,1,540
220,9725,5,1,1339
221,10393,5,1,1347
222,6459,1,1,1241
224,10682,7,1,1240
225,7063,1,1,150
226,4343,1,1,172
226,10543,10,1,1152
226,10562,11,1,1152
226,3547,12,1,63
227,7111,2,1,187
229,7182,2,1,213
229,10305,11,1,1084
229,3242,12,1,1
230,6894,2,1,197
230,11024,15,1,1180
231,11122,12,1,998
232,7084,2,1,149
232,10688,13,1,1182
233,9419,9,1,1098
234,7079,1,1,83
234,10785,9,1,1192
235,6982,1,1,70
235,5604,2,1,119
235,10614,7,1,1246
236,6932,1,1,45
236,5461,3,1,135
237,6834,0,1,22
237,5862,2,1,347
237,10346,4,1,1169
238,5686,1,1,410
239,6885,1,1,28
239,5659,3,1,425
240,6685,0,1,7
240,5582,2,1,570
241,6601,0,1,10
241,5651,2,1,661
241,9877,4,1,1175
242,5604,3,1,854
242,9662,6,1,1201
243,5859,3,1,949
244,5768,3,1,986
245,5752,3,1,867
247,5832,3,1,771
248,5708,2,1,787
249,5478,1,1,748
250,5944,2,1,772
250,8146,6,1,772
251,6315,3,1,717
251,8390,10,1,717
251,7390,11,1,717
252,6271,2,1,741
252,7543,9,1,741
253,6372,3,1,695
254,6340,3,1,725
255,2591,0,2,1070
255,6808,1,2,45
255,7060,2,2,260
255,6512,5,1,694
255,1714,10,2,1070
255,1769,11,2,1070
256,3651,0,2,1662
256,5888,3,1,649
256,2566,5,2,1662
256,2838,6,2,1662
257,7234,2,2,250
257,6262,5,1,669
257,2566,7,2,1573
257,2756,8,2,1573
258,3118,0,2,1694
258,7128,1,2,357
258,6575,2,2,1566
258,6407,4,1,688
258,2835,6,2,1694
258,2817,7,2,1694
258,6452,8,2,1694
258,2517,9,2,1694
259,4215,0,2,1576
259,7570,1,2,612
259,5912,2,2,1385
259,8925,3,1,126
259,5859,6,1,703
259,2490,9,2,1576
259,3098,10,2,1576
259,2932,11,2,1576
260,3230,0,2,1724
260,4160,1,2,1724
260,7874,2,2,747
260,6054,3,2,1502
260,9094,4,1,61
260,6137,7,1,650
260,3673,9,2,1724
260,2816,10,2,1724
260,7365,11,2,1724
260,6025,12,1,650
261,3657,0,2,1937
261,4534,1,2,1937
261,8129,2,2,947
261,6180,3,2,1654
261,5937,7,1,677
261,4808,9,2,1937
261,5084,10,2,1937
261,4262,11,2,1937
261,4176,12,2,1937
262,3641,0,2,2083
262,4813,1,2,2083
262,8209,2,2,1032
262,6868,3,2,2083
262,6266,7,1,666
262,5164,9,2,2083
262,5320,10,2,2083
262,4630,11,2,2083
262,6113,12,2,2083
264,3772,0,2,2126
264,5114,1,2,2126
264,8550,2,2,1101
264,6296,3,2,1789
264,9513,4,2,42
264,5909,7,1,621
264,5997,10,2,2126
264,5661,11,2,2126
264,4704,12,2,2126
264,9027,13,2,2126
265,4137,0,2,2178
265,8171,1,2,775
265,6169,2,2,1783
265,6129,5,1,637
265,6491,9,2,2178
265,6157,10,2,2178
265,4580,11,2,2178
266,3868,0,2,1863
266,8783,1,2,1137
266,5867,2,2,1415
266,6589,5,1,641
266,3083,8,1,153
266,6473,9,2,1863
266,6675,10,2,1863
266,6297,11,2,1863
266,5508,12,2,1863
267,3725,0,2,1814
267,8410,1,2,869
267,5360,2,2,1332
267,9687,3,2,300
267,6133,6,1,594
267,6242,11,2,1814
267,5356,12,2,1814
267,213,13,2,6
267,6791,14,2,1814
267,6461,15,2,1814
268,3743,0,2,1713
268,8827,1,2,1101
268,4844,2,2,1206
268,9526,3,2,454
268,6025,5,1,607
268,6527,9,2,1713
268,9023,10,2,1713
268,6820,12,2,1713
268,6720,13,2,1713
269,3922,0,2,1742
269,4718,1,2,1742
269,8731,2,2,1065
